Date,Industry_aggregation_NZSIOC,Industry_code_NZSIOC,Industry_name_NZSIOC,Units,Value
01/01/2008,Level 1,99999,All industries,Dollars (millions),2524
02/01/2008,Level 1,99999,All industries,Dollars (millions),4232
03/01/2008,Level 1,99999,All industries,Dollars (millions),4376
04/01/2008,Level 1,99999,All industries,Dollars (millions),2919
05/01/2008,Level 1,99999,All industries,Dollars (millions),2917
06/01/2008,Level 1,99999,All industries,Dollars (millions),3207
07/01/2008,Level 1,99999,All industries,Dollars (millions),3319
08/01/2008,Level 1,99999,All industries,Dollars (millions),2197
09/01/2008,Level 1,99999,All industries,Dollars (millions),2458
10/01/2008,Level 1,99999,All industries,Dollars (millions),3093
11/01/2008,Level 1,99999,All industries,Dollars (millions),2086
12/01/2008,Level 1,99999,All industries,Dollars (millions),3452
13/01/2008,Level 1,99999,All industries,Dollars (millions),3893
14/01/2008,Level 1,99999,All industries,Dollars (millions),3549
15/01/2008,Level 1,99999,All industries,Dollars (millions),2733
16/01/2008,Level 1,99999,All industries,Dollars (millions),1959
17/01/2008,Level 1,99999,All industries,Dollars (millions),4271
18/01/2008,Level 1,99999,All industries,Dollars (millions),3783
19/01/2008,Level 1,99999,All industries,Dollars (millions),2566
20/01/2008,Level 1,99999,All industries,Dollars (millions),1568
21/01/2008,Level 1,99999,All industries,Dollars (millions),1478
22/01/2008,Level 1,99999,All industries,Dollars (millions),4274
23/01/2008,Level 1,99999,All industries,Dollars (millions),5000
24/01/2008,Level 1,99999,All industries,Dollars (millions),2238
25/01/2008,Level 1,99999,All industries,Dollars,3996
26/01/2008,Level 1,99999,All industries,Dollars,3035
27/01/2008,Level 1,99999,All industries,Percentage,2084
28/01/2008,Level 1,99999,All industries,Percentage,2060
29/01/2008,Level 1,99999,All industries,Percentage,3676
30/01/2008,Level 1,99999,All industries,Percentage,2757
31/01/2008,Level 1,99999,All industries,Percentage,3975
01/02/2008,Level 1,AA,Agroforestry,Dollars (millions),1041
02/02/2008,Level 1,AA,Agroforestry,Dollars (millions),3803
03/02/2008,Level 1,AA,Agroforestry,Dollars (millions),1681
04/02/2008,Level 1,AA,Agroforestry,Dollars (millions),4318
05/02/2008,Level 1,AA,Agroforestry,Dollars (millions),3800
06/02/2008,Level 1,AA,Agroforestry,Dollars (millions),4169
